,DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - How safe and inclusive is the school while supporting social-emotional growth?,Quality Review - How well does the school allocate and manage resources?,"Quality Review - How well does the school identify, track, and meet its goals?",Quality Review - How thoughtful is the school’s approach to teacher development and evaluation?,Quality Review - How well are school decisions evaluated and adjusted?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/ Undercredited,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,dbn,total_students,graduation_rate,attendance_rate,pct_stu_enough_variety,college_career_rate,pct_stu_safe,girls,boys,pbat,international,specialized,transfer,ptech,earlycollege,school_accessibility_description,zip,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL
93,06M293,City College Academy of the Arts,High School,342,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Exceeding Target,0.78,0.71,0.74,0.76,0.79,0.81,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,April 2017,3.29,3.14,0.032,0.12,0.003,0.7190000000000001,0.012,0.07,0.544,0.006,0.047,0.912,0.032,12.0,0.861,0.9390000000000001,0.177,0.973,06M293,602,0.97,0.94,0.58,0.88,0.89,,,,,,,,1.0,1.0,10040,40.86079,-73.930672,12,10,285,1076756.0,1021720016.0
94,06M346,Community Health Academy of the Heights,High School,385,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.87,0.94,0.8,0.97,0.9,0.95,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,January 2017,2.63,2.19,0.182,0.171,0.01,0.805,0.049,0.158,0.59,0.005,0.06,0.912,0.018000000000000002,6.1,0.725,0.79,0.5479999999999999,0.978,06M346,703,0.79,0.79,0.84,0.54,0.9,,,,,,,,,1.0,10032,40.833687,-73.942072,12,7,241,1089242.0,1021160031.0
95,06M348,Washington Heights Expeditionary Learning School,High School,405,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,0.84,0.86,0.77,0.87,0.9,0.93,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,"March 18, 2015",2.75,2.67,0.12300000000000001,0.20199999999999999,0.0,0.804,0.022000000000000002,0.17,0.62,0.005,0.054000000000000006,0.9329999999999999,0.005,1.8,0.7240000000000001,0.8440000000000001,0.47200000000000003,0.978,06M348,815,0.77,0.84,0.73,0.56,0.87,,,,,,,,,2.0,10033,40.848908,-73.930948,12,10,269,1063703.0,1021550035.0
96,06M462,The College Academy,High School,459,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.76,0.83,0.64,0.86,0.82,0.85,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,"November 19, 2014",2.3,2.06,0.447,0.203,0.040999999999999995,0.826,0.14400000000000002,0.214,0.58,0.004,0.109,0.865,0.011000000000000001,0.9,0.857,0.852,0.46299999999999997,0.978,06M462,460,0.54,0.85,0.7,0.38,0.67,,,,,,,,,2.0,10040,40.855954,-73.927051,12,10,277,1076751.0,1021600018.0
97,06M463,High School for Media and Communications,High School,409,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.76,0.77,0.67,0.84,0.86,0.89,Developing,Developing,Developing,Proficient,Developing,,,,,,"February 26, 2016",2.41,2.1,0.396,0.17600000000000002,0.005,0.865,0.147,0.301,0.535,0.012,0.115,0.861,0.006999999999999999,1.9,0.92,0.903,0.23399999999999999,0.9490000000000001,06M463,408,0.46,0.9,0.73,0.35,0.72,,,,,,,,,2.0,10040,40.855954,-73.927051,12,10,277,1076751.0,1021600018.0
98,06M467,High School for Law and Public Service,High School,593,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,0.85,0.93,0.74,0.98,0.91,0.94,Developing,Developing,Proficient,Developing,Developing,Developing,Proficient,Proficient,Proficient,Developing,November 2016,2.48,2.14,0.317,0.223,0.094,0.812,0.11599999999999999,0.207,0.5770000000000001,0.005,0.147,0.828,0.017,17.8,0.971,0.88,0.377,0.946,06M467,544,0.73,0.88,0.83,0.42,0.79,,,,,,,,,2.0,10040,40.855954,-73.927051,12,10,277,1076751.0,1021600018.0
99,06M468,High School for Health Careers and Sciences,High School,460,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Exceeding Target,Approaching Target,Approaching Target,0.68,0.63,0.66,0.67,0.96,0.79,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,Proficient,May 2017,2.43,2.15,0.38,0.154,0.004,0.8540000000000001,0.102,0.285,0.57,0.015,0.135,0.8220000000000001,0.009000000000000001,4.4,0.619,0.87,0.39,0.9620000000000001,06M468,463,0.62,0.87,0.81,0.39,0.8,,,,,,,,,2.0,10040,40.855954,-73.927051,12,10,277,1076751.0,1021600018.0
100,06M540,A. Philip Randolph Campus High School,High School,1447,Approaching Target,Meeting Target,,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.82,0.85,0.76,0.86,0.77,0.88,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,January 2017,2.8,2.42,0.126,0.138,0.017,0.7759999999999999,0.055,0.125,0.5760000000000001,0.053,0.289,0.607,0.026000000000000002,5.6,0.735,0.8440000000000001,0.418,0.97,06M540,1375,0.73,0.84,0.96,0.53,0.87,,,,,,,,,2.0,10031,40.818188,-73.950356,9,9,21703,1059409.0,1019570078.0
101,06M552,Gregorio Luperon High School for Science and Mathe,High School,508,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.86,0.86,0.86,0.92,0.87,0.95,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,May 2017,1.89,2.03,0.6729999999999999,0.02,0.0,0.9229999999999999,0.159,0.43700000000000006,0.382,0.0,0.0,1.0,0.0,0.7,0.778,0.924,0.165,0.9790000000000001,06M552,524,0.69,0.92,0.9,0.49,0.95,,,,1.0,,,,,1.0,10032,40.838167,-73.938642,12,10,251,1085733.0,1021230045.0
102,07X221,South Bronx Preparatory: A College Board School,High School,376,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,Exceeding Target,0.87,0.9,0.85,0.93,0.83,0.94,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,"January 14, 2015",2.75,2.36,0.045,0.23399999999999999,0.003,0.83,0.043,0.098,0.644,0.028999999999999998,0.25,0.6990000000000001,0.011000000000000001,10.0,0.5870000000000001,0.924,0.247,0.97,07X221,659,0.96,0.92,0.86,0.58,0.95,,,,,,,,,,10454,40.813983,-73.92078199999999,1,8,43,2097038.0,2023060054.0
103,07X223,M.S. 223 The Laboratory School of Finance and Tech,High School,395,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.82,0.86,0.75,0.86,0.82,0.91,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,"November 4, 2015",2.92,2.82,0.068,0.185,0.0,0.858,0.015,0.081,0.701,0.005,0.192,0.795,0.005,14.0,0.5770000000000001,0.903,0.29,0.9670000000000001,07X223,684,0.92,0.9,0.79,,0.91,,,1.0,,,,,,,10454,40.813983,-73.92078199999999,1,8,43,2097038.0,2023060054.0
104,07X259,"H.E.R.O. High (Health, Education, and Research Occ",High School,455,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,0.77,0.88,0.69,0.94,0.91,0.91,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,"May 11, 2015",2.62,2.28,0.105,0.2,0.006999999999999999,0.78,0.095,0.174,0.602,0.011000000000000001,0.389,0.5710000000000001,0.006999999999999999,4.0,0.258,0.8340000000000001,0.466,0.971,07X259,496,0.72,0.83,0.76,,0.81,,,,,,,1.0,1.0,2.0,10455,40.810803,-73.907015,1,8,35,2003883.0,2025760026.0
105,07X334,International Community High School,High School,443,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,0.86,0.89,0.84,0.89,0.85,0.93,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,"February 23, 2016",1.8,1.84,0.856,0.054000000000000006,0.009000000000000001,0.9470000000000001,0.289,0.289,0.332,0.043,0.115,0.813,0.016,10.5,0.857,0.8859999999999999,0.373,0.981,07X334,436,0.62,0.89,0.92,0.42,0.93,,,1.0,1.0,,,,,,10454,40.81004,-73.917792,1,8,41,2000391.0,2022860036.0
106,07X427,Community School for Social Justice,High School,305,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,0.92,0.98,0.92,0.97,0.98,0.99,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,"April 14, 2015",2.35,2.04,0.138,0.266,0.016,0.8390000000000001,0.157,0.151,0.6559999999999999,0.003,0.243,0.7340000000000001,0.013000000000000001,0.4,0.7829999999999999,0.7859999999999999,0.603,0.9670000000000001,07X427,330,0.55,0.79,0.92,0.53,0.95,,,1.0,,,,,,1.0,10451,40.815938,-73.930386,1,8,63,2001027.0,2023440096.0
107,07X473,Mott Haven Village Preparatory High School,High School,397,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.64,0.69,0.67,0.7,0.84,0.79,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,December 2016,2.37,2.07,0.166,0.267,0.005,0.85,0.18100000000000002,0.113,0.657,0.005,0.257,0.718,0.013000000000000001,4.1,0.6920000000000001,0.777,0.62,0.9740000000000001,07X473,358,0.53,0.78,0.65,0.48,0.83,,,,,,,,,,10455,40.81825,-73.91103000000001,1,17,71,2001153.0,2023590240.0
108,07X495,University Heights Secondary School,High School,467,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.84,0.92,0.8,0.97,0.94,0.93,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,"March 19, 2015",3.17,2.94,0.024,0.17600000000000002,0.006,0.77,0.027999999999999997,0.073,0.5870000000000001,0.026000000000000002,0.261,0.675,0.019,7.8,0.7390000000000001,0.934,0.195,0.972,07X495,491,0.98,0.93,0.91,0.78,0.9,,,1.0,,,,,,,10455,40.81825,-73.91103000000001,1,17,71,2001153.0,2023590240.0
109,07X500,Hostos-Lincoln Academy of Science,High School,352,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.78,0.77,0.71,0.85,0.85,0.88,Proficient,Developing,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,February 2017,3.07,2.75,0.04,0.159,0.003,0.787,0.031,0.105,0.619,0.04,0.21,0.713,0.017,12.9,0.794,0.912,0.237,0.973,07X500,508,0.84,0.91,0.63,0.77,0.87,,,,,,,,1.0,2.0,10455,40.815498,-73.91224,1,17,73,2004314.0,2026160001.0
110,07X522,Bronx Design and Construction Academy,High School,561,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,0.6,0.41,0.55,0.36,0.72,0.59,Proficient,Developing,Proficient,Proficient,Proficient,,,,,,"March 3, 2016",2.45,2.27,0.166,0.28300000000000003,0.036000000000000004,0.789,0.107,0.16,0.597,0.013999999999999999,0.228,0.715,0.03,0.7,0.857,0.764,0.684,0.9640000000000001,07X522,504,0.54,0.76,0.67,0.38,0.51,,,,,,,,,2.0,10451,40.818232,-73.91986700000001,1,17,67,2001874.0,2024110022.0
111,07X527,Bronx Leadership Academy II High School,High School,500,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.77,0.81,0.72,0.83,0.83,0.88,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,2015-02-12T00:00:00.000,2.4,2.14,0.17800000000000002,0.262,0.013999999999999999,0.83,0.11199999999999999,0.142,0.66,0.018000000000000002,0.272,0.682,0.013999999999999999,1.9,0.5529999999999999,0.8420000000000001,0.485,0.9620000000000001,07X527,513,0.73,0.84,0.85,0.64,0.83,,,,,,,,,1.0,10451,40.822309999999995,-73.923829,4,17,61,2103486.0,2024430078.0
112,07X548,Careers in Sports High School,High School,560,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,0.74,0.85,0.65,0.92,0.85,0.89,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,March 2017,2.57,2.36,0.102,0.245,0.004,0.838,0.157,0.16399999999999998,0.65,0.006999999999999999,0.295,0.677,0.018000000000000002,6.4,0.789,0.772,0.6629999999999999,0.95,07X548,515,0.72,0.77,0.81,0.57,0.88,,,,,,,,,1.0,10451,40.822309999999995,-73.923829,4,17,61,2103486.0,2024430078.0
113,07X551,The Urban Assembly Bronx Academy of Letters,High School,341,Exceeding Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.78,0.89,0.67,0.93,0.89,0.9,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,May 2017,2.37,2.03,0.12,0.282,0.076,0.868,0.07,0.126,0.6920000000000001,0.012,0.276,0.68,0.026000000000000002,2.9,0.5770000000000001,0.799,0.721,0.975,07X551,590,0.85,0.8,0.77,0.43,0.8,,,,,,,,,2.0,10451,40.813641,-73.925313,1,8,51,2000957.0,2023330070.0
114,07X600,Alfred E. Smith Career and Technical Education Hig,High School,444,Approaching Target,Approaching Target,Approaching Target,Meeting Target,,,Meeting Target,0.8,0.82,0.69,0.92,0.82,0.84,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,May 2017,2.32,2.08,0.225,0.28600000000000003,0.045,0.815,0.079,0.19399999999999998,0.637,0.006999999999999999,0.23600000000000002,0.7390000000000001,0.013999999999999999,5.0,0.8109999999999999,0.843,0.501,0.945,07X600,463,0.8,0.84,0.8,0.37,0.73,,,,,,,,,2.0,10451,40.818232,-73.91986700000001,1,17,67,2001874.0,2024110022.0
115,07X670,Health Opportunities High School,High School,461,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,0.78,0.86,0.74,0.93,0.83,0.9,Proficient,Developing,Developing,Proficient,Proficient,,,,,,"April 15, 2016",2.47,2.21,0.11900000000000001,0.213,0.009000000000000001,0.825,0.182,0.16699999999999998,0.631,0.02,0.35600000000000004,0.588,0.017,5.6,0.818,0.765,0.58,0.973,07X670,491,0.49,0.77,0.86,0.53,0.88,,,,,,,,,1.0,10451,40.815938,-73.930386,1,8,63,2001027.0,2023440096.0
116,08X269,Bronx Studio School for Writers and Artists,High School,354,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.7,0.75,0.65,0.78,0.84,0.87,Proficient,Developing,Developing,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,March 2017,2.57,2.25,0.121,0.263,0.006,0.833,0.062,0.11,0.6890000000000001,0.013999999999999999,0.201,0.768,0.011000000000000001,13.0,0.5,0.843,0.494,0.972,08X269,643,0.64,0.84,0.72,0.5,0.82,,,,,,,,,,10459,40.820578999999995,-73.893128,2,17,89,2116211.0,2027230033.0
117,08X282,Women's Academy of Excellence,High School,305,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,0.77,0.86,0.65,0.82,0.66,0.83,Proficient,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,October 2016,2.45,2.12,0.134,0.22,0.003,0.7879999999999999,0.134,0.193,0.58,0.095,0.42,0.39,0.066,13.0,0.87,0.75,0.804,0.943,08X282,281,0.7,0.75,0.49,0.42,0.74,1.0,,,,,,,,2.0,10473,40.814833,-73.85658000000001,9,18,4,2020580.0,2034780018.0
118,08X293,Renaissance High School for Musical Theater & Tech,High School,454,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,0.77,0.89,0.68,0.92,0.81,0.91,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,"April 22, 2015",2.52,2.14,0.044000000000000004,0.251,0.006999999999999999,0.696,0.086,0.12300000000000001,0.54,0.031,0.262,0.626,0.068,9.0,0.69,0.8220000000000001,0.53,0.973,08X293,465,0.7,0.82,0.84,0.43,0.8,,,,,,,,,2.0,10461,40.840702,-73.838545,10,13,194,2074045.0,2053680001.0
119,08X312,Millennium Art Academy,High School,447,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,0.81,0.9,0.73,0.92,0.86,0.92,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Developing,Proficient,Developing,March 2017,2.61,2.17,0.069,0.28,0.0,0.7559999999999999,0.078,0.128,0.568,0.013000000000000001,0.257,0.7,0.011000000000000001,5.0,0.9059999999999999,0.845,0.48,0.961,08X312,432,0.72,0.85,0.82,0.44,0.83,,,,,,,,,2.0,10473,40.82229,-73.856167,9,18,16,2022205.0,2036040039.0
120,08X320,Pelham Lab High School,High School,459,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,0.73,0.72,0.6,0.83,0.86,0.83,Proficient,Developing,Developing,Proficient,Proficient,,,,,,"November 24, 2014",2.53,2.19,0.113,0.218,0.013000000000000001,0.721,0.133,0.135,0.514,0.07400000000000001,0.22,0.564,0.096,4.0,0.515,0.8290000000000001,0.521,0.966,08X320,466,0.71,0.83,0.61,,0.67,,,,,,,,,2.0,10461,40.840702,-73.838545,10,13,194,2074045.0,2053680001.0
121,08X348,Schuylerville Preparatory High School,High School,359,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.73,0.85,0.57,0.9,0.78,0.86,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,January 2017,2.62,2.2,0.111,0.223,0.003,0.693,0.064,0.128,0.504,0.045,0.248,0.591,0.086,1.0,0.88,0.87,0.46299999999999997,0.975,08X348,376,0.67,0.87,0.56,,0.67,,,,,,,,,2.0,10461,40.840702,-73.838545,10,13,194,2074045.0,2053680001.0
122,08X349,Bronx River High School,High School,409,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.75,0.75,0.65,0.84,0.8,0.85,Proficient,Proficient,Well Developed,Proficient,Well Developed,,,,,,"April 15, 2015",2.45,2.16,0.174,0.23,0.006999999999999999,0.741,0.11699999999999999,0.161,0.516,0.044000000000000004,0.249,0.626,0.049,4.0,0.5329999999999999,0.826,0.526,0.9620000000000001,08X349,405,0.73,0.83,0.66,,0.77,,,,,,,,,2.0,10461,40.840702,-73.838545,10,13,194,2074045.0,2053680001.0
123,08X367,"Archimedes Academy for Math, Science and Technolog",High School,407,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Not Meeting Target,Approaching Target,0.71,0.69,0.58,0.67,0.72,0.75,Proficient,Proficient,Proficient,Proficient,Developing,Well Developed,Proficient,Proficient,Proficient,Proficient,February 2017,2.57,2.25,0.10099999999999999,0.275,0.079,0.708,0.10300000000000001,0.135,0.496,0.066,0.307,0.585,0.027000000000000003,10.0,0.778,0.784,0.634,0.9640000000000001,08X367,686,0.63,0.78,0.59,0.43,0.7,,,,,,,,,2.0,10473,40.814833,-73.85658000000001,9,18,4,2020580.0,2034780018.0
124,08X376,Antonia Pantoja Preparatory Academy: A College Boa,High School,239,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,0.71,0.73,0.69,0.77,0.83,0.86,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,March 2017,2.38,1.98,0.205,0.255,0.0,0.792,0.142,0.184,0.565,0.092,0.23399999999999999,0.657,0.008,2.5,0.857,0.795,0.564,0.9590000000000001,08X376,404,0.6,0.8,0.67,0.39,0.77,,,,,,,,,2.0,10473,40.82229,-73.856167,9,18,16,2022205.0,2036040039.0
125,08X405,Herbert H. Lehman High School,High School,829,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.72,0.72,0.64,0.73,0.78,0.81,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Developing,March 2017,2.66,2.37,0.13,0.235,0.10400000000000001,0.664,0.076,0.10300000000000001,0.483,0.138,0.23800000000000002,0.49200000000000005,0.111,1.9,0.818,0.8320000000000001,0.44799999999999995,0.956,08X405,732,0.59,0.83,0.79,0.35,0.67,,,,,,,,,2.0,10461,40.840702,-73.838545,10,13,194,2074045.0,2053680001.0
126,08X432,Bronx Bridges High School,High School,332,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,0.78,0.81,0.71,0.78,0.87,0.89,Developing,Developing,Proficient,Well Developed,Proficient,,,,,,"January 8, 2015",1.87,2.02,0.813,0.14800000000000002,0.009000000000000001,0.907,0.24100000000000002,0.262,0.455,0.127,0.042,0.768,0.036000000000000004,2.8,0.387,0.8109999999999999,0.594,0.9740000000000001,08X432,341,0.58,0.81,0.69,0.42,0.78,,,,,,,,,2.0,10473,40.82229,-73.856167,9,18,16,2022205.0,2036040039.0
127,08X452,Bronx Guild,High School,296,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.74,0.85,0.71,0.87,0.77,0.88,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,"May 8, 2015",2.47,2.02,0.091,0.294,0.003,0.7929999999999999,0.166,0.18899999999999997,0.632,0.040999999999999995,0.297,0.632,0.006999999999999999,11.0,0.652,0.8,0.573,0.955,08X452,553,0.67,0.8,0.6,0.36,0.82,,,,,,,,,2.0,10473,40.82229,-73.856167,9,18,16,2022205.0,2036040039.0
128,08X530,Banana Kelly High School,High School,172,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Approaching Target,0.85,0.89,0.78,0.91,0.91,0.94,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,May 2017,2.16,1.86,0.128,0.355,0.028999999999999998,0.875,0.203,0.22699999999999998,0.698,0.006,0.349,0.634,0.006,1.5,0.5,0.797,0.5770000000000001,0.975,08X530,199,0.5,0.8,0.72,0.29,0.88,,,,,,,,,,10459,40.817512,-73.898212,2,17,87,2005616.0,2027100001.0
129,08X558,Westchester Square Academy,High School,589,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Meeting Target,0.72,0.56,0.64,0.52,0.73,0.71,Proficient,Proficient,Well Developed,Proficient,Proficient,,,,,,"December 10, 2014",2.76,2.37,0.071,0.21600000000000003,0.005,0.6629999999999999,0.107,0.11,0.479,0.055999999999999994,0.24100000000000002,0.5760000000000001,0.098,1.0,0.578,0.872,0.342,0.965,08X558,609,0.74,0.87,0.65,0.6,0.68,,,,,,,,,2.0,10461,40.840702,-73.838545,10,13,194,2074045.0,2053680001.0
130,08X559,School for Tourism and Hospitality,High School,305,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.75,0.76,0.65,0.8,0.88,0.88,Proficient,Developing,Developing,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,March 2017,2.39,2.04,0.17,0.243,0.006999999999999999,0.86,0.19699999999999998,0.23600000000000002,0.639,0.01,0.38,0.574,0.016,0.2,0.63,0.768,0.67,0.96,08X559,305,0.55,0.77,0.56,0.42,0.81,,,,,,,,,1.0,10456,40.821675,-73.90354599999999,3,17,133,2004807.0,2026680001.0
131,08X561,Bronx Compass High School,High School,469,Not Meeting Target,Not Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,0.59,0.63,0.6,0.75,0.81,0.86,Developing,Developing,Developing,Developing,Under Developed,Developing,Developing,Developing,Developing,Developing,April 2017,2.56,2.16,0.094,0.271,0.021,0.759,0.151,0.183,0.574,0.026000000000000002,0.316,0.625,0.021,0.5,0.583,0.812,0.544,0.9620000000000001,08X561,457,0.48,0.81,0.66,0.45,0.76,,,,,,,,,2.0,10473,40.82229,-73.856167,9,18,16,2022205.0,2036040039.0
132,09X227,Bronx Collegiate Academy,High School,407,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,0.82,0.93,0.74,0.97,0.83,0.94,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,March 2017,2.4,2.06,0.221,0.26,0.049,0.8690000000000001,0.069,0.182,0.6579999999999999,0.022000000000000002,0.253,0.705,0.012,6.3,0.741,0.851,0.42,0.9570000000000001,09X227,396,0.67,0.85,0.82,0.33,0.8,,,,,,,,,2.0,10457,40.840422,-73.91091,4,16,225,2007806.0,2028170002.0
133,09X231,Eagle Academy for Young Men,High School,328,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,0.76,0.77,0.65,0.82,0.89,0.81,Proficient,Developing,Developing,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Developing,May 2017,2.44,2.16,0.04,0.302,0.08199999999999999,0.687,0.11,0.098,0.473,0.009000000000000001,0.588,0.375,0.006,1.8,0.825,0.868,0.36,0.9640000000000001,09X231,511,0.74,0.87,0.72,0.64,0.71,,1.0,,,,,,,,10457,40.844958,-73.89705,6,15,395,2117666.0,2029230018.0
134,09X241,Urban Assembly School for Applied Math and Science,High School,369,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.8,0.77,0.69,0.82,0.84,0.85,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,"January 14, 2016",2.57,2.59,0.076,0.271,0.005,0.795,0.019,0.098,0.612,0.008,0.374,0.607,0.008,4.9,0.462,0.863,0.366,0.9640000000000001,09X241,616,0.86,0.86,0.72,0.76,0.81,,,,,,,,,1.0,10457,40.839244,-73.90131600000001,3,16,167,2009555.0,2029130001.0
